Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Status,Deemed Assets,Deemed Liability,Number of Wells,,,Area Name,Deemed Assets,Deemed Liability,,,,,,,,,
Well,Provost,0155544,100/12-08-040-12W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0156100,106/01-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0156267,104/10-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0156432,1D0/05-21-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0156559,102/12-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0156619,1B3/07-21-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0156648,1B0/01-21-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,205928.46,48718,x,48718,,,,
Well,Provost,0156742,1A0/02-21-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0156746,1B0/02-21-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0158355,103/10-22-040-10W4/00,Suspended Oil,Ellerslie,AlphaBow,1,CHOICE BASAL QUARTZ UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0158887,103/13-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0159152,104/13-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0159296,103/14-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0159389,102/03-20-040-12W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0159730,103/16-08-040-12W4/00,Suspended Oil,Glauconitic,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0159790,102/12-08-040-12W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0159792,102/06-08-040-12W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0159793,100/06-08-040-12W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0161759,104/10-33-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,99317.22,48718,x,48718,,,,
Well,Provost,0161822,1B4/01-33-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0161839,1D3/12-27-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0164451,105/08-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0164452,107/01-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0166456,106/04-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0166457,106/08-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0166458,105/14-29-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0166938,104/16-29-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0166941,105/02-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0167933,1B0/12-27-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0168359,1B0/15-16-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,19240.91,48718,x,48718,,,,
Well,Provost,0168442,1B2/12-27-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,270598.52,48718,x,48718,,,,
Well,Provost,0171166,1A3/08-21-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0171168,1D3/13-27-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0171970,1B2/01-21-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0172980,1D0/09-28-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0172982,1A2/15-28-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0172983,1C3/12-27-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0177876,106/09-20-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0178102,1D0/15-16-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
